Date,Strategy Portfolio,Buy & Hold Portfolio,NIFTY Bank
2024-06-12,996340.4252632165,1067286.6210254333,1034431.9447851434
2024-06-13,995923.5886702614,1065815.6364854279,1033428.4608957529
2024-06-14,996505.5901990525,1066119.4529714265,1036648.1775441669
2024-06-18,1000328.2086248571,1074830.1301630158,1045747.4788793406
2024-06-19,1011132.4783807055,1096640.0313054142,1065591.289782516
2024-06-20,1014169.9072095519,1102095.4811340356,1073577.2917046114
2024-06-21,1013573.7120016733,1100329.6864601762,1071052.1015540923
2024-06-24,1013579.4676743269,1100253.3513531194,1071933.2172603763
2024-06-25,1023931.4356195454,1122270.0739187938,1090634.655171562
2024-06-26,1027185.414620563,1130333.096861987,1096118.3046847903
2024-06-27,1028936.1913526137,1133703.201535881,1094890.9785332517
2024-06-28,1023382.4044779709,1122473.2292744352,1085166.554759033
2024-07-01,1025190.9681944943,1125238.5404028895,1089986.775975765
2024-07-02,1019159.2902248623,1113468.5756160524,1081556.085970654
2024-07-03,1028222.3937340034,1133606.875093236,1100653.4590553711
2024-07-04,1029481.9371401812,1137389.2625405341,1100953.0221985278
2024-07-05,1029929.0632779122,1137631.321335032,1091761.4790628524
2024-07-08,1028775.3133660861,1135566.5267012953,1086898.7407738967
2024-07-09,1030232.5499173581,1139640.3044771042,1089863.4359738647
2024-07-10,1026761.4911279752,1132093.4204697446,1081995.5910201028
2024-07-11,1028292.6731951439,1135513.2961240099,1083682.1015516627
2024-07-12,1028763.1449630656,1137956.1554384534,1083853.1416593532
2024-07-15,1030501.1128934824,1143372.7248533957,1087522.7294243488
2024-07-16,1028309.8125950866,1140248.8771455092,1086297.5088801966
2024-07-18,1032002.0368620602,1148985.2545751375,1090939.4013482851
2024-07-19,1028979.8177455495,1142815.9593084974,1083577.4690615414
2024-07-22,1024064.8348647712,1133048.6933016274,1083884.2398607514
2024-07-23,1016388.2898497714,1120981.5192941406,1073474.683836977
2024-07-24,1011424.8553313805,1108079.211774507,1063910.9341033162
2024-07-25,1009875.9942895753,1094933.3252458926,1055032.3976041102
2024-07-26,1011400.6405297179,1105645.52784325,1063474.5064800472
2024-07-29,1011895.8525322062,1104636.6643339212,1065761.2770865133
2024-07-30,1012872.9687837078,1104770.9297196497,1067690.4183768989
2024-07-31,1012823.4990627818,1107333.5733672776,1068811.9782497236
2024-08-01,1012013.7727252835,1105579.4151384388,1069031.7712668977
2024-08-02,1011724.4578900811,1099694.5182634892,1064598.1719602582
2024-08-05,1004679.4981750299,1070396.4104884167,1038516.1752354495
2024-08-06,1003428.3634848394,1061508.7880967972,1031388.4512779863
2024-08-07,1005412.3117950977,1071248.7050188757,1039073.837253232
2024-08-08,1006643.6464410786,1071599.872189859,1039855.4225180618
2024-08-09,1007038.7216252467,1079464.851289904,1046651.4323272769
2024-08-12,1007932.0588309448,1081452.6739113433,1048588.834077409
2024-08-13,1002593.8566838996,1066163.3874980395,1033120.6372928496
2024-08-14,1002716.587722633,1065444.878323358,1030953.0764584105
2024-08-16,1006094.247808715,1081852.8630901123,1047323.1210835197
2024-08-19,1006268.5692723428,1077962.0618313611,1044243.4273262973
2024-08-20,1008019.9795470473,1086688.0333074662,1053257.6945170227
2024-08-21,1007519.7728809941,1084815.4931706602,1050819.644118338
2024-08-22,1008385.0743895101,1090281.3601787363,1057042.361824172
2024-08-23,1007732.3404413676,1089387.6719090608,1055959.1078087988
2024-08-26,1009087.485762558,1093226.6087845138,1060409.3090198308
2024-08-27,1009745.2545939708,1096880.6679868118,1063117.9299676602
2024-08-28,1008805.2158372749,1091137.8303611022,1060321.1974492024
2024-08-29,1007970.7642023921,1091847.723036436,1060505.6810502056
2024-08-30,1008768.376096411,1093801.8204419466,1064615.8266683437
2024-09-02,1008071.4827940619,1097233.767435743,1066451.6733545347
2024-09-03,1010816.6282433451,1103719.2194523378,1071625.3936574734
2024-09-04,1010010.721613944,1096851.1261225836,1065636.88428092
2024-09-05,1008924.7119421121,1097809.0390876445,1067146.1998524293
2024-09-06,1005502.4383705893,1074522.6913915677,1048566.0773206566
2024-09-09,1008907.8480115854,1086494.7634825783,1059781.1091546058
2024-09-10,1009425.9188966003,1090040.410797187,1062984.2238986276
2024-09-11,1008849.111393846,1084262.6187042485,1057546.1688838038
2024-09-12,1012128.2098953495,1103214.5903890405,1073352.3156538708
2024-09-13,1010704.5691427157,1105569.7347521617,1076786.6422858927
2024-09-16,1013598.8891678125,1110632.404038928,1081246.0757754648
2024-09-17,1014966.1902616359,1112402.7803736678,1081982.0665418904
2024-09-18,1019318.3050610734,1123382.3901211906,1093628.3429655423
2024-09-19,1022815.1323136073,1128641.6626825626,1099582.6767145172
2024-09-20,1029065.5564754315,1143044.8399619458,1115247.828774599
2024-09-23,1031277.2660776236,1151698.8556096957,1121728.726339958
2024-09-24,1029718.0197317316,1147471.3823084263,1118884.2937157096
2024-09-25,1032756.5805072892,1151664.5251625963,1121642.6393918165
2024-09-26,1034683.2622629218,1158041.6080466816,1127317.0893282068
2024-09-27,1028115.0501974932,1146324.0871183616,1116099.9518868714
2024-09-30,1017728.9511340552,1123175.0524164315,1098349.1147257192
2024-10-01,1018200.0216843856,1127243.2909889896,1097198.4812739831
2024-10-03,1010785.6746722367,1102324.135213273,1074861.63122538
2024-10-04,1007046.6392490076,1095975.7278601818,1066918.1463755087
2024-10-07,1004729.7371157722,1074081.5039057755,1046535.2999814302
2024-10-08,1004994.9068924463,1084668.1624688446,1057774.2223607246
2024-10-09,1005736.4183621677,1091842.4089153125,1057483.9724810072
2024-10-10,1005672.5776414522,1105521.114793908,1068345.5052287497
2024-10-11,1003973.4257683891,1099412.3887314717,1060911.0104720765
2024-10-14,1006215.478762575,1108716.3152420118,1074274.8956286863
2024-10-15,1007788.5267803484,1109294.8072206904,1076122.1611857032
2024-10-16,1005657.858326341,1106828.7884126075,1073946.3398915175
2024-10-17,1003890.2833576406,1097876.3838764862,1063326.3041140086
2024-10-18,1008784.5436394778,1121047.0335132703,1080023.9326574928
2024-10-21,1002865.4641393027,1113695.046457905,1077297.6570015778
2024-10-22,997407.0511323356,1100995.648420382,1062670.0834735653
2024-10-23,995244.5171256828,1096634.7897954723,1062293.8276306062
2024-10-24,998418.6448588807,1101842.0412247335,1068350.688262316
2024-10-25,997286.8287467391,1102110.2116466388,1052932.216206034
2024-10-28,998688.3856706306,1106748.1322418908,1062714.7061531758
2024-10-29,1005171.639233689,1133170.79865021,1084719.7610686314
2024-10-30,999350.804348774,1118321.3914088232,1074080.0459605502
2024-10-31,996131.6485627656,1111423.3878088365,1067193.8999582198
2024-11-01,997269.399011494,1115048.9268770448,1071310.2004287178
2024-11-04,992802.3742282385,1104994.8375392861,1061801.4394418004
2024-11-05,1003904.2469200777,1128908.7983617147,1082367.7166331888
