Date,HDFCBANK.NS,ICICIBANK.NS,SBIN.NS,AXISBANK.NS,KOTAKBANK.NS
2024-03-13,978861.6235080893,1007398.4779421441,1072573.5845174836,937977.2694937022,942981.4684248139
2024-03-14,978861.6235080893,1007204.072067466,1072573.5845174836,931591.5150408923,942981.4684248139
2024-03-15,978861.6235080893,1005398.7487303768,1072573.5845174836,931591.5150408923,942981.4684248139
2024-03-18,978861.6235080893,1005870.896656915,1072573.5845174836,931591.5150408923,942981.4684248139
2024-03-19,978861.6235080893,1007398.4779421441,1072573.5845174836,931591.5150408923,942981.4684248139
2024-03-20,978861.6235080893,1007704.0213224373,1072573.5845174836,931591.5150408923,942981.4684248139
2024-03-21,978861.6235080893,1006204.2413656414,1072573.5845174836,931591.5150408923,942981.4684248139
2024-03-22,978861.6235080893,1010925.856247259,1072573.5845174836,931591.5150408923,943926.2337046246
2024-03-26,978861.6235080893,1007259.6069162142,1072573.5845174836,931591.5150408923,936676.8971468162
2024-03-27,978861.6235080893,1007287.4082446476,1072573.5845174836,931591.5150408923,943670.7451112363
2024-03-28,978861.6235080893,1012592.3085584181,1072573.5845174836,931591.5150408923,946832.361633766
2024-04-01,978861.6235080893,1016119.6190554147,1070819.0013810974,931591.5150408923,948493.0131260563
2024-04-02,983694.43805258,1005870.896656915,1077083.025500396,931591.5150408923,937858.5379824202
2024-04-03,984555.4313486587,1003648.960242036,1080678.9947684202,931591.5150408923,929475.5103841431
2024-04-04,1002696.1245408973,1004565.5225747973,1071592.3341957894,931591.5150408923,927234.3244453461
2024-04-05,1011486.1949170049,1007093.0023699693,1075807.0074759587,931591.5150408923,927234.3244453461
2024-04-08,1010304.8161066754,1009176.0677589182,1078552.3295280172,931591.5150408923,924449.0552216048
2024-04-09,1011085.7374661744,1020230.2149845642,1075381.6838679758,931591.5150408923,922032.3339514516
2024-04-10,1006200.1272356636,1021535.5890666819,1086865.657285956,931591.5150408923,936083.4326215317
2024-04-12,999232.1578144209,1018758.1685480834,1077005.6638986333,931591.5150408923,932086.5147135288
2024-04-15,989521.064631783,1004287.7805229374,1070200.3445694419,927769.0975501187,927469.9804479487
2024-04-16,985331.4228063513,996136.9717829478,1065715.023684326,924591.355023454,925750.3630380485
2024-04-18,978242.7128762035,996136.9717829478,1060379.0083827558,905558.4694647989,923937.8457240859
2024-04-19,992560.0521003007,996136.9717829478,1054875.323733328,905558.4694647989,925765.8699940445
2024-04-22,985088.4169170755,996136.9717829478,1063442.2941011814,905558.4694647989,931126.0289878659
2024-04-23,983288.9842624146,989649.8593153381,1069103.905823381,905558.4694647989,932086.5147135288
2024-04-24,984892.8253730505,993178.0894397169,1069185.937844619,905558.4694647989,941304.1708433024
2024-04-25,984521.2205401399,1002405.7682265537,1101678.5810701384,905558.4694647989,911375.7948446178
2024-04-26,984149.6157072294,999230.3743666791,1092324.6269414437,904616.4696958072,911375.7948446178
